STOCK
TCS
YESBANK
RELIANCE
ICICIBANK
HDFC
JUSTDIAL
INFY
DHFL
TATASTEEL
ASHOKLEY
SBIN
HEXAWARE
TITAN
MANAPPURAM
AXISBANK
HDFCBANK
MARUTI
ITC
LT
KOTAKBANK
TATAMOTORS
JUBLFOOD
VEDL
SUNPHARMA
M&M
STRTECH
HINDPETRO
BAJAJ-AUTO
SRTRANSFIN
ASIANPAINT
HCLTECH
LUPIN
BHARTIARTL
JINDALSTEL
DRREDDY
INDUSINDBK
ICICIB22
CANBK
SUNTV
RELCAPITAL
DIVISLAB
HINDUNILVR
BAJFINANCE
PNB
TECHM
VARROC
FORTIS
BHARATFORG
HINDALCO
HEROMOTOCO
GRAPHITE
VMART
ULTRACEMCO
VAKRANGEE
POWERGRID
BANKBARODA
ESCORTS
RELINFRA
MINDTREE
RBLBANK
FEDERALBNK
BALKRISIND
CIPLA
GAIL
IGL
APOLLOTYRE
TATAELXSI
GRASIM
NIITTECH
JETAIRWAYS
BPCL
BIOCON
JPASSOCIAT
SRF
IBULHSGFIN
BEL
IDBI
SAIL
BATAINDIA
APOLLOHOSP
PCJEWELLER
EICHERMOT
JAICORPLTD
RAJESHEXPO
JISLJALEQS
HEG
NTPC
AUBANK
MGL
MFSL
WOCKPHARMA
TVSMOTOR
ONGC
KTKBANK
GNFC
DABUR
NBCC
DMART
ADANIENT
MANPASAND
CEATLTD
IOC
INFIBEAM
BERGEPAINT
TATAGLOBAL
BAJAJFINSV
AUROPHARMA
UPL
VOLTAS
STAR
COALINDIA
LICHSGFIN
CENTURYTEX
LIQUIDBEES
WIPRO
JSWSTEEL
ZEEL
KPIT
PAGEIND
MOTHERSUMI
DELTACORP
IBREALEST
M&MFIN
COLPAL
BANKINDIA
BEML
CONCOR
BHARATFIN
L&TFH
EXIDEIND
GLENMARK
BBTC
DALMIABHA
RCOM
MPHASIS
GODREJCP
ACC
DLF
UNIONBANK
RAMCOCEM
DISHTV
AMBUJACEM
KIRIINDUS
PETRONET
INDIGO
CADILAHC
TATACHEM
IDEA
BRITANNIA
RECLTD
KAJARIACER
ADANIPORTS
AVANTIFEED
IRB
BANDHANBNK
NATIONALUM
NCC
CESC
CENTENKA
KSCL
MEGH
MCDOWELL-N
RIIL
GMRINFRA
HDFCLIFE
CGPOWER
BHEL
GRANULES
DCBBANK
SIS
UBL
BFUTILITIE
HFCL
ARVIND
TORNTPHARM
FSL
PVR
AJANTPHARM
TATAMTRDVR
RAYMOND
MRF
PERSISTENT
8KMILES
PIDILITIND
INDIACEM
GODREJIND
TIMETECHNO
ORIENTBANK
HINDZINC
UJJIVAN
EMAMILTD
HAVELLS
PFC
ICICIPRULI
CENTRALBK
CHOLAFIN
OIL
INDIANB
NOCIL
NHPC
PRAKASH
PEL
BALRAMCHIN
AMARAJABAT
CDSL
DBL
CHENNPETRO
KWALITY
INFRATEL
MARICO
ICIL
PNBHOUSING
JINDALSAW
CASTROLIND
SHREECEM
CANFINHOME
OBEROIRLTY
MUTHOOTFIN
ENGINERSIN
MCX
RITES
SAREGAMA
DCMSHRIRAM
ALBK
INDHOTEL
NAUKRI
IDFCBANK
SADBHAV
EDELWEISS
GSPL
WHIRLPOOL
TATASPONGE
GATI
SIEMENS
TORNTPOWER
ABCAPITAL
RPOWER
EIDPARRY
TATACOFFEE
TV18BRDCST
NESTLEIND
DBCORP
BOSCHLTD
SYNDIBANK
RICOAUTO
SUVEN
SOUTHBANK
ADANIPOWER
IMFA
VENKEYS
JKTYRE
SUZLON
SOBHA
LTTS
SREINFRA
BFINVEST
TATAPOWER
LTI
PTC
CROMPTON
GRUH
FINCABLES
PHILIPCARB
REPCOHOME
NMDC
EQUITAS
GAYAPROJ
KRBL
JKPAPER
LUXIND
GREENPLY
SPTL
GSFC
GPPL
CYIENT
CAPF
BANKBEES
HATHWAY
ABBOTINDIA
GODREJPROP
ABB
VIPIND
NIITLTD
GILLETTE
SBILIFE
NATCOPHARM
WALCHANNAG
VGUARD
PARAGMILK
RCF
ADANITRANS
TIRUMALCHM
MOIL
PURVA
VAIBHAVGBL
HCC
IFCI
GMBREW
FRETAIL
TATACOMM
OFSS
VBL
ASHOKA
DEN
GOACARBON
BAJAJELEC
APARINDS
ANDHRABANK
SPARC
SHANKARA
JUBILANT
IPCALAB
WELSPUNIND
IDFC
HOVS
AKSHOPTFBR
HDIL
RADICO
FCONSUMER
LALPATHLAB
ITI
JMFINANCIL
JSLHISAR
GODREJAGRO
THERMAX
TATAINVEST
GSKCONS
KEC
GUJALKALI
MINDAIND
MASFIN
SHAKTIPUMP
BSE
KARURVYSYA
EROSMEDIA
JAMNAAUTO
MERCK
TINPLATE
OMAXE
PGHH
CUB
HINDCOPPER
KANSAINER
SANDHAR
CHAMBLFERT
V2RETAIL
GRINDWELL
GUJGASLTD
GICRE
SANOFI
CUMMINSIND
GARWALLROP
TATAMETALI
BOROSIL
BIRLACORPN
NBVENTURES
ALLCARGO
DAAWAT
MIDHANI
RAMKY
LIBERTSHOE
HCL-INSYS
SONATSOFTW
WHEELS
ENDURANCE
QUICKHEAL
CARERATING
JINDALPOLY
BEPL
GODFRYPHLP
LAKSHVILAS
GREAVESCOT
BHARATRAS
WABAG
SCI
INDIAGLYCO
DREDGECORP
UFLEX
APTECHT
MRPL
INTELLECT
MANALIPETC
JINDWORLD
ACE
MMTC
SUPREMEIND
HINDOILEXP
ABAN
BAJAJHLDNG
HSCL
CAPLIPOINT
SUNTECK
JSWENERGY
FINEORG
RKFORGE
HGINFRA
INOXLEISUR
VISAKAIND
ASIANTILES
EVEREADY
THOMASCOOK
MIRZAINT
SYMPHONY
BRIGADE
PRAJIND
JYOTHYLAB
SUNDRMFAST
VIKASECO
JSL
ICICIGI
ABFRL
KNRCON
TRENT
MAITHANALL
QUESS
COCHINSHIP
MARKSANS
TNPETRO
TAKE
SDBL
HIGHGROUND
ADFFOODS
BHUSANSTL
ZYDUSWELL
CIGNITITEC
RPPINFRA
MASTEK
SINTEX
DWARKESH
SUDARSCHEM
GPIL
MOTILALOFS
RALLIS
POWERMECH
MAHLOG
MAHINDCIE
HUDCO
TEAMLEASE
RELAXO
ASTRAZEN
TVTODAY
CAMLINFINE
RANEHOLDIN
GUJFLUORO
CENTURYPLY
ASTRAL
VSTIND
SURYAROSNI
NUCLEUS
SNOWMAN
EVERESTIND
ISEC
WELENT
HUBTOWN
PIIND
IGPL
TWL
MOREPENLAB
EXCELINDUS
BODALCHEM
KIRLOSBROS
CAPACITE
SUNDARMFIN
BANARBEADS
ECLERX
TIINDIA
LAXMIMACH
JKLAKSHMI
IZMO
MEP
KSK
SANGHIIND
BGRENERGY
KEI
KITEX
KOLTEPATIL
TRIDENT
RUCHISOYA
INDOCO
GLAXO
ASTRAMICRO
3IINFOTECH
PNCINFRA
GENESYS
JBCHEPHARM
AIFL
UNITECH
HATSUN
ADVENZYMES
SRIPIPES
GOLDBEES
MCLEODRUSS
SWANENERGY
AEGISCHEM
NFL
CENTRUM
ALANKIT
VIVIMEDLAB
ROLTA
